"agegroup","Sex","pop"
"0-4","m",12000
"0-4","f",12000
"5-9","m",10000
"5-9","f",10000
"10-14","m",9000
"10-14","f",9000
"15-19","m",9000
"15-19","f",9000
"20-24","m",8000
"20-24","f",8000
"25-29","m",8000
"25-29","f",8000
"30-34","m",6000
"30-34","f",6000
"35-39","m",6000
"35-39","f",6000
"40-44","m",6000
"40-44","f",6000
"45-49","m",6000
"45-49","f",6000
"50-54","m",5000
"50-54","f",5000
"55-59","m",4000
"55-59","f",4000
"60-64","m",4000
"60-64","f",4000
"65-69","m",3000
"65-69","f",3000
"70-74","m",2000
"70-74","f",2000
"75-79","m",1000
"75-79","f",1000
"80-84","m",500
"80-84","f",500
"85","m",500
"85","f",500
